macd_line,future_price,sma,vwap,macd_histogram,macd_signal,rsi_14,price
-0.2078686864585393,146.60000610351562,146.0010009765625,146.91655480176746,-0.0109603969434679,-0.1969082895150713,47.785717121873056,146.3000030517578
-0.1597384067315772,146.6699981689453,146.19300231933593,146.91283773582407,0.0297359062267952,-0.1894743129583725,53.46051809515672,146.60000610351562
-0.1146257047832364,146.72999572753906,146.3490020751953,146.91129706919878,0.0598788865401088,-0.1745045913233452,54.69757752179316,146.6699981689453
-0.073188589411302,146.97000122070312,146.475,146.91070090873146,0.0810528015296346,-0.1542413909409366,55.782582779384974,146.72999572753906
-0.0207438176349228,146.625,146.65400085449218,146.91110829986889,0.106798058644811,-0.1275418762797339,59.91811009918574,146.97000122070312
-0.0069396770954028,146.61500549316406,146.71900024414063,146.90871964947456,0.0964817593474648,-0.1034214364428677,52.34008438672983,146.625
0.0031573347716573,146.74000549316406,146.7220001220703,146.9074854056014,0.08526301697162,-0.0821056821999627,52.13437808985021,146.61500549316406
0.0210036280034273,146.69839477539062,146.73600158691406,146.9068344914507,0.082487448162712,-0.0614838201592846,54.5407816349158,146.74000549316406
0.0314270354936638,146.49000549316406,146.72968139648438,146.9055587098535,0.0743286845223588,-0.0429016490286949,53.57520123538193,146.69839477539062
0.0226117335435276,146.55999755859375,146.63368225097656,146.90324878215117,0.052410706057778,-0.0297989725142504,48.90559278766281,146.49000549316406
0.0210308869952768,146.6699981689453,146.6206817626953,146.90087846172975,0.0406638876076218,-0.0196330006123449,50.46718550428403,146.55999755859375
0.0283276412434076,146.86000061035156,146.63168029785157,146.89989908869396,0.0383685134846021,-0.0100408722411944,52.90339685998912,146.6699981689453
0.0488785392850843,146.82000732421875,146.65567932128906,146.8996991389984,0.047135529221023,0.0017430100640613,56.8510664299439,146.86000061035156
0.0612323022270118,146.91000366210938,146.68000183105468,146.89944410976875,0.0475914337303604,0.0136408684966514,55.79101229802822,146.82000732421875
0.0773925673582027,146.83999633789062,146.76400146484374,146.8995003083587,0.051001359089241,0.0263912082689616,57.702310717477054,146.91000366210938
0.083587147311249,146.99000549316406,146.82000122070312,146.89920819974475,0.0457567512338299,0.0378303960774191,55.685507898722754,146.83999633789062
0.0994544329109885,147.0399932861328,146.88400268554688,146.89974238758208,0.0492992294668555,0.050155203444133,58.99291816255147,146.99000549316406
0.114740313285381,146.96499633789062,146.9200012207031,146.90053490088516,0.0516680878729984,0.0630722254123826,60.062596018747456,147.0399932861328
0.1194261859321841,147.16000366210938,146.9489990234375,146.90090260416144,0.0450831684158411,0.0743430175163429,57.63356029652712,146.96499633789062
0.1372926113232324,147.1300048828125,146.9989990234375,146.90173510124842,0.0503596750455116,0.0869329362777208,61.94331696742732,147.16000366210938
